DAY_OF_MONTH,DAY_OF_WEEK,CARRIER,TAIL_NUM,FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN,DEST_AIRPORT_ID,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY_NEW,CRS_ARR_TIME,ARR_TIME,ARR_DELAY_NEW,CRS_ELAPSED_TIME,DISTANCE
1,3,AA,N338AA,1,12478,JFK,12892,LAX,900,914,14,1225,1238,13,385,2475
1,3,AA,N339AA,2,12892,LAX,12478,JFK,930,1132,122,1800,1951,111,330,2475
1,3,AA,N335AA,3,12478,JFK,12892,LAX,1200,1157,0,1510,1523,13,370,2475
1,3,AA,N367AA,5,11298,DFW,12173,HNL,1305,1307,2,1745,1746,1,520,3784
1,3,AA,N364AA,6,13830,OGG,11298,DFW,1755,1753,0,500,452,0,425,3711
1,3,AA,N364AA,7,11298,DFW,13830,OGG,1200,1205,5,1625,1630,5,505,3711
1,3,AA,N372AA,8,12173,HNL,11298,DFW,1800,1839,39,520,620,60,440,3784
1,3,AA,N3KBAA,9,12892,LAX,13303,MIA,2155,2211,16,535,552,17,280,2342
1,3,AA,N328AA,10,12892,LAX,12478,JFK,2115,2122,7,525,523,0,310,2475
1,3,AA,N5DHAA,14,13830,OGG,12892,LAX,2313,2306,0,620,617,0,307,2486
1,3,AA,N3LGAA,15,10721,BOS,13930,ORD,610,606,0,810,821,11,180,867
1,3,AA,N368AA,16,14771,SFO,12478,JFK,1250,1345,55,2120,2216,56,330,2586
1,3,AA,N3DDAA,17,10397,ATL,13303,MIA,640,636,0,830,827,0,110,594
1,3,AA,N332AA,18,14771,SFO,12478,JFK,2230,2230,0,700,651,0,330,2586
1,3,AA,N327AA,21,12478,JFK,12892,LAX,1900,1902,2,2215,2224,9,375,2475
1,3,AA,N3LBAA,23,11278,DCA,13303,MIA,715,714,0,1000,947,0,165,919
1,3,AA,N352AA,24,14771,SFO,12478,JFK,705,658,0,1540,1520,0,335,2586
1,3,AA,N3BAAA,25,10721,BOS,12892,LAX,740,738,0,1110,1108,0,390,2611
1,3,AA,N5CBAA,28,12892,LAX,13303,MIA,555,622,27,1340,1404,24,285,2342
1,3,AA,N3EHAA,29,12953,LGA,14027,PBI,730,722,0,1040,1014,0,190,1035
1,3,AA,N3EHAA,29,14027,PBI,12953,LGA,1125,1125,0,1410,1352,0,165,1035
1,3,AA,N327AA,30,12892,LAX,12478,JFK,2325,2331,6,745,816,31,320,2475
1,3,AA,N5FCAA,31,12892,LAX,12173,HNL,810,811,1,1210,1159,0,360,2556
1,3,AA,N338AA,32,12892,LAX,12478,JFK,1345,1339,0,2210,2142,0,325,2475
1,3,AA,N327AA,34,12892,LAX,12478,JFK,800,758,0,1625,1555,0,325,2475
1,3,AA,N4UBAA,35,11298,DFW,14869,SLC,1840,1858,18,2030,2052,22,170,989
1,3,AA,N3ANAA,40,14027,PBI,13930,ORD,625,623,0,835,852,17,190,1144
1,3,AA,N575AA,43,11298,DFW,11433,DTW,1120,1130,10,1455,1503,8,155,986
1,3,AA,N575AA,43,11433,DTW,11298,DFW,1535,1549,14,1755,1835,40,200,986
1,3,AA,N3DVAA,44,12889,LAS,12478,JFK,825,820,0,1625,1549,0,300,2248
1,3,AA,N571AA,155,11298,DFW,15376,TUS,1805,1822,17,1930,1935,5,145,813
1,3,AA,N4XBAA,156,12892,LAX,15016,STL,1200,1215,15,1735,1744,9,215,1592
1,3,AA,N4XBAA,156,15016,STL,12892,LAX,1820,1830,10,2035,2019,0,255,1592
1,3,AA,N565AA,157,11298,DFW,14057,PDX,1245,1247,2,1455,1500,5,250,1616
1,3,AA,N565AA,157,14057,PDX,11298,DFW,1535,1545,10,2110,2114,4,215,1616
1,3,AA,N3FUAA,159,13930,ORD,14679,SAN,1315,1457,102,1530,1719,109,255,1723
1,3,AA,N3FUAA,159,14679,SAN,13930,ORD,1620,1759,99,2210,2358,108,230,1723
1,3,AA,N5DGAA,160,13303,MIA,10721,BOS,2100,2101,1,5,2346,0,185,1258
1,3,AA,N5DHAA,161,12892,LAX,13830,OGG,1750,1749,0,2143,2126,0,353,2486
1,3,AA,N5FCAA,162,12173,HNL,12892,LAX,1340,1332,0,2105,2039,0,325,2556
1,3,AA,N4WLAA,163,10140,ABQ,11298,DFW,1405,1406,1,1650,1640,0,105,569
1,3,AA,N4WLAA,163,11298,DFW,10140,ABQ,1235,1231,0,1325,1323,0,110,569
1,3,AA,N472AA,164,11298,DFW,11618,EWR,1625,1624,0,2050,2013,0,205,1372
1,3,AA,N566AA,165,13930,ORD,14107,PHX,1105,1133,28,1355,1435,40,230,1440
1,3,AA,N566AA,165,14107,PHX,13930,ORD,1440,1517,37,1910,2001,51,210,1440
1,3,AA,N4YTAA,166,11298,DFW,15016,STL,1235,1233,0,1410,1359,0,95,550
1,3,AA,N4YTAA,166,15016,STL,11298,DFW,1450,1501,11,1645,1647,2,115,550
1,3,AA,N371AA,167,13303,MIA,14771,SFO,755,752,0,1120,1107,0,385,2585
1,3,AA,N3HRAA,168,14679,SAN,13930,ORD,630,624,0,1225,1240,15,235,1723
2,4,EV,N883AS,4962,11612,EVV,10397,ATL,635,630,0,900,954,54,85,350
2,4,EV,N131EV,4964,13487,MSP,11042,CLE,1915,1942,27,2208,2223,15,113,622
2,4,EV,N730EV,4965,10397,ATL,12197,HPN,943,1210,147,1200,1406,126,137,780
2,4,EV,N730EV,4965,12197,HPN,10397,ATL,1235,1506,151,1455,1740,165,140,780
2,4,EV,N852AS,4967,10397,ATL,13422,MOB,2205,2204,0,2220,2210,0,75,302
2,4,EV,N758EV,4969,11433,DTW,13851,OKC,2020,2253,153,2211,11,120,171,900
2,4,EV,N976EV,4972,10397,ATL,12007,GTR,1543,1556,13,1551,1559,8,68,241
2,4,EV,N976EV,4972,12007,GTR,10397,ATL,1617,1616,0,1827,1817,0,70,241
2,4,EV,N845AS,4975,10397,ATL,15249,TLH,1535,1534,0,1636,1639,3,61,223
2,4,EV,N845AS,4975,15249,TLH,10397,ATL,1715,1709,0,1825,1818,0,70,223
2,4,EV,N710EV,4978,14321,PWM,12953,LGA,1706,,,1840,,,94,269
2,4,EV,N848AS,4980,10397,ATL,11778,FSM,2048,2135,47,2143,2217,34,115,579
2,4,EV,N755EV,4981,14524,RIC,13487,MSP,720,718,0,920,859,0,180,970
2,4,EV,N758EV,5086,10397,ATL,13871,OMA,856,919,23,1029,1025,0,153,821
2,4,EV,N758EV,5086,13871,OMA,10397,ATL,1105,1110,5,1414,1417,3,129,821
2,4,EV,N857AS,5087,10397,ATL,13377,MLU,1041,1040,0,1122,1128,6,101,448
2,4,EV,N857AS,5087,13377,MLU,10397,ATL,1150,1152,2,1419,1427,8,89,448
2,4,EV,N823AS,5088,10397,ATL,11953,GNV,2202,2250,48,2314,2356,42,72,300
2,4,EV,N922EV,5089,10397,ATL,14814,SHV,1705,1704,0,1801,1754,0,116,551
2,4,EV,N922EV,5089,14814,SHV,10397,ATL,1826,1821,0,2104,2051,0,98,551
2,4,EV,N709EV,5090,10397,ATL,12266,IAH,1720,1752,32,1838,1906,28,138,689
2,4,EV,N709EV,5090,12266,IAH,10397,ATL,1915,1930,15,2209,2211,2,114,689
2,4,EV,N718EV,5091,10397,ATL,11995,GSO,1205,1225,20,1318,1342,24,73,306
2,4,EV,N718EV,5091,11995,GSO,10397,ATL,1355,1415,20,1519,1532,13,84,306
2,4,EV,N850AS,5092,14814,SHV,10397,ATL,815,814,0,1054,1048,0,99,551
2,4,EV,N871AS,5093,10397,ATL,11308,DHN,1931,2004,33,1930,1957,27,59,170
2,4,EV,N919EV,5095,10397,ATL,12007,GTR,1924,1921,0,1937,1938,1,73,241
2,4,EV,N843AS,5096,10208,AGS,10397,ATL,1620,1843,143,1719,1933,134,59,143
2,4,EV,N843AS,5096,10397,ATL,10208,AGS,1500,1723,143,1554,1819,145,54,143
2,4,EV,N724EV,5097,11433,DTW,12339,IND,1545,1631,46,1700,1822,82,75,231
2,4,EV,N753EV,5098,11995,GSO,12953,LGA,1723,1840,77,1910,2025,75,107,461
2,4,EV,N695CA,5099,10397,ATL,11995,GSO,1759,1834,35,1916,1937,21,77,306
2,4,EV,N738EV,5100,10397,ATL,12197,HPN,1835,,,2048,,,133,780
2,4,EV,N977EV,5101,10397,ATL,12448,JAN,1229,1230,1,1254,1250,0,85,341
2,4,EV,N977EV,5101,12448,JAN,10397,ATL,1319,1318,0,1540,1547,7,81,341
2,4,EV,N845AS,5103,13577,MYR,10397,ATL,715,705,0,838,834,0,83,317
2,4,EV,N930EV,5105,10397,ATL,12217,HSV,1209,1221,12,1209,1211,2,60,151
2,4,EV,N930EV,5105,12217,HSV,10397,ATL,1250,1246,0,1446,1447,1,56,151
2,4,EV,N841AS,5106,10397,ATL,10980,CHA,1921,1920,0,2013,2006,0,52,106
2,4,EV,N761ND,4899,13244,MEM,11433,DTW,1600,1558,0,1857,1843,0,117,610
2,4,EV,N925EV,4900,10397,ATL,13422,MOB,1214,1242,28,1231,1312,41,77,302
2,4,EV,N925EV,4900,13422,MOB,10397,ATL,1258,1331,33,1509,1545,36,71,302
