id,customer_id,product_id,amount,date
1,28-8787691,209546526-1,146484.3791,2010-12-07 15:20:02
2,30-9984887,109707266-5,71625.0844,2007-05-01 09:32:56
3,82-1155863,692637873-8,112911.5113,2008-02-09 14:50:46
4,48-1674284,522700905-8,163488.7058,1999-03-06 14:26:18
5,67-1814059,461255258-X,53857.0782,2000-07-15 03:02:24
6,30-0996761,836333969-5,254039.2289,2005-03-20 12:47:46
7,76-9208368,214095476-9,74960.2046,2009-04-17 18:20:52
8,84-5406752,903268301-2,71598.9348,2011-06-28 20:34:49
9,66-6986502,122129750-3,89348.6488,2000-12-02 16:33:41
10,70-9724814,926139601-1,138282.0006,2002-09-17 13:08:56
11,00-7972964,715955745-X,13030.5574,2007-09-24 04:41:29
12,60-8243624,787853727-5,86552.9464,2012-09-14 15:00:01
13,95-7434378,427638056-1,68856.6592,1998-11-30 11:51:06
14,69-2487049,304841755-9,60072.4507,2006-09-22 18:02:13
15,24-8279904,635927110-9,47139.7852,1999-03-03 22:04:43
16,24-0493554,637712206-3,11793.5872,2013-04-20 12:58:31
17,36-7528065,271039517-7,10863.7086,2006-03-18 02:04:41
18,60-1475097,325763447-1,38458.446,2008-02-21 10:49:51
19,45-8164313,576978040-1,6254.9024,2016-01-25 07:19:54
20,83-4733242,546207224-4,191818.1336,2009-02-07 08:36:32
21,80-0335665,443544117-9,54282.8697,2000-11-10 22:16:42
22,26-6030911,223738410-X,100306.5221,2005-08-26 20:10:52
23,79-9408802,634399376-2,7388.4149,2003-07-21 12:22:08
24,42-8632922,430854624-9,50924.2212,1998-06-26 21:05:08
25,27-7756031,853119047-9,99907.4169,2011-02-15 04:02:28
26,30-5376925,833480731-7,167897.2877,2011-02-07 20:22:22
27,69-2036614,071676852-6,11616.6904,2006-12-13 18:50:26
28,36-2297496,118725038-4,37394.8988,2004-07-09 18:36:18
29,08-0340879,860899477-1,16558.8066,2010-12-31 19:50:39
30,56-0209997,186051816-8,167929.7946,1998-05-07 08:59:13
31,63-4127051,340239179-1,17792.3324,2006-12-06 17:25:51
32,18-1662195,298101240-1,101625.9039,2009-10-29 23:28:09
33,10-6267588,849649880-8,39718.8577,2015-02-11 09:06:27
34,70-2499956,302732784-4,189876.383,2002-10-05 18:12:20
35,46-3679381,432160674-8,85678.6816,2009-06-17 01:55:51
36,68-2557706,906628401-3,96820.3075,2012-08-12 23:46:14
37,94-8404634,616908984-9,37557.5172,1998-05-20 05:07:35
38,43-2204281,739793712-8,28441.4782,2013-02-02 12:41:25
39,38-3000532,226055556-X,163388.1286,2008-01-23 10:27:11
40,23-9755963,156922920-1,268479.6469,2003-05-19 17:38:55
41,06-6344168,960970860-9,95723.1115,2001-05-05 01:12:35
42,02-5977908,756906979-X,67139.5857,2008-05-20 14:16:10
43,03-4522553,203639559-7,143893.2976,2010-05-19 22:27:41
44,67-2003355,817019695-7,37448.2198,2004-09-09 12:04:23
45,96-2892761,296009777-7,192962.4223,1999-08-11 06:22:02
46,98-4542754,633104177-X,41601.9816,2015-12-21 10:39:15
47,82-4611048,401515618-8,93125.7802,2006-07-31 21:25:14
48,42-5027171,242507100-8,94620.8997,2000-02-15 06:16:36
49,15-6395200,833847232-8,27639.3622,2001-10-19 23:52:26
50,29-4180204,465052532-2,138994.1329,1998-11-09 02:06:30
51,01-6144206,406408406-3,67799.8599,2009-06-15 09:46:28
52,67-6672738,713359812-4,91521.051,2000-01-28 09:37:23
53,98-1285011,285017163-8,57417.6252,2005-03-17 07:40:16
54,36-8262542,330215666-9,19636.4619,2015-08-05 16:13:34
55,75-4859180,003682932-3,179184.7738,2013-06-28 10:52:51
56,50-3596349,291917750-8,194827.0425,2003-07-15 19:49:50
57,20-3830088,574336445-1,91425.0033,2010-06-04 04:52:45
58,24-3974593,399740748-7,27986.5341,2002-02-07 17:50:45
59,52-9950435,884221246-6,42636.257,2010-02-20 05:09:32
60,18-6800147,147552717-9,55286.5952,2007-12-01 16:02:10
61,61-4548294,879078554-1,16205.003,2009-12-16 00:59:24
62,31-4492968,570480040-8,111499.4439,2004-04-29 03:44:15
63,16-4372821,502712741-3,19365.3702,2011-07-30 06:49:08
64,37-3910963,789456380-3,67188.649,2004-02-19 16:57:46
65,30-1401782,587783330-8,96910.8144,2012-06-14 08:16:17
66,74-5294530,226055556-X,151912.2109,2003-02-27 09:17:42
67,94-6178756,209546526-1,84926.8977,2001-04-01 17:05:48
68,01-3295089,886792991-7,32283.3945,2004-04-05 00:09:01
69,82-3235423,939258046-0,56141.2442,2009-08-09 22:08:24
70,81-2957898,330840246-7,22127.8089,2014-05-25 09:55:12
71,82-3235423,685069594-0,57132.3663,2010-01-29 11:19:46
72,77-8690444,752479168-2,80496.3503,2010-11-15 13:31:16
73,41-1536104,414722207-2,4321.8378,2010-11-13 15:04:07
74,37-6414422,964898983-4,24456.915,2001-03-18 17:09:04
75,58-5531054,491673103-4,10071.4943,2015-06-29 11:35:01
