medallion,hack_license,vendor_id,rate_code,store_and_fwd_flag,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude
740BD5BE61840BE4FE3905CC3EBE3E7E,E48B185060FB0FF49BE6DA43E69E624B,CMT,1,N,10/1/2013 12:44,10/1/2013 12:53,1,536,1.2,-73.974319,40.741859,-73.99115,40.742424
EA05309C30F375695F44C96108ACB10F,1D10D8AC5B07D80861761365A05A9AE2,CMT,1,N,10/2/2013 19:44,10/2/2013 20:03,1,1139,5.1,-73.981239,40.729141,-73.943695,40.719715
EA05309C30F375695F44C96108ACB10F,1D10D8AC5B07D80861761365A05A9AE2,CMT,1,N,10/2/2013 22:01,10/2/2013 22:09,1,480,2.2,-74.002991,40.73354,-74.005615,40.727261
B36D7AB5B422EA1A0588EFD1D8155EF3,669F420B42A0739A5D1058184AD227ED,CMT,1,N,10/3/2013 12:14,10/3/2013 12:26,1,689,0.9,-73.967178,40.766563,-73.976784,40.755947
28172009F5513B25F4091C0929C4515D,ABE08BCFEBF3F5F7339CA2170EEC1DEE,CMT,1,N,10/2/2013 0:33,10/2/2013 1:06,1,1959,14.8,-73.784142,40.648621,-73.976479,40.672001
90C0771FE30F703616B3A31414470E18,8D466661814D45936D897907D4B4C602,CMT,1,N,10/3/2013 18:35,10/3/2013 18:37,1,138,0.7,-73.970169,40.789268,-73.97908,40.786839
37E1F5BD15A35A1652745C88604FC19E,4606384EA9F41F9BC76AA34B44FB5AAB,CMT,1,N,10/3/2013 13:32,10/3/2013 14:00,1,1666,2,-73.955536,40.77969,-73.978142,40.763096
56EC8E3AA6218867A1341249F26531F3,DD72E3EE33F0CEDB5F068218010CC62A,CMT,1,N,10/4/2013 12:09,10/4/2013 12:26,1,1044,4.7,-74.010162,40.71925,-73.984634,40.722439
4E67DD5E52DAD3CC9F8C84132F96AD2D,B189EAD638D515A2DAD3CC8B268A3FEF,CMT,2,N,10/2/2013 17:07,10/2/2013 18:04,1,3427,17.5,-73.992241,40.72504,-73.78965,40.647038
6DFB708A2122478F136B3227E18930B5,8992ECFE72103DD0DC2165D9E3CF8DFC,CMT,1,N,10/2/2013 23:17,10/2/2013 23:34,1,1049,4.6,-73.9842,40.743095,-73.945061,40.800911
4E67DD5E52DAD3CC9F8C84132F96AD2D,B189EAD638D515A2DAD3CC8B268A3FEF,CMT,1,N,10/3/2013 0:48,10/3/2013 0:58,1,580,2.9,-73.988853,40.731247,-73.97892,40.761959
98295C0F915873F4A862715DFE3FF585,77D48BD865D15E771C0728DA21552745,CMT,1,N,10/2/2013 20:18,10/2/2013 20:37,1,1104,3.6,-73.952812,40.783291,-73.992462,40.758282
98295C0F915873F4A862715DFE3FF585,77D48BD865D15E771C0728DA21552745,CMT,1,Y,10/2/2013 20:41,10/2/2013 20:49,1,468,1.1,-73.990074,40.76226,-73.974609,40.753815
13804C3B9932CF05FE17F7BBAC2BC4E7,20984D31722ACD7E01C30CADD0521952,CMT,1,N,10/3/2013 18:54,10/3/2013 19:17,1,1426,3.7,-73.995972,40.748653,-73.954697,40.777409
